Prefecture,Name,Address,Description,Location,Target,URL
福井県,福井第81団,福井県福井市舟橋町9-53   (事務所　乾徳2丁目3-12）,"主な活動場所: 福井県内在住障がい者
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/fukui81/",福井県内在住障がい者,男女,https://find-local.scout.or.jp/fukui/fukui81/
福井県,坂井第5団,福井県坂井市春江町江留下屋敷245-1,"主な活動場所: 坂井市春江町、坂井市丸岡町、坂井市坂井町、坂井市三国町、あわら市全域
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/sakai5/",坂井市春江町、坂井市丸岡町、坂井市坂井町、坂井市三国町、あわら市全域,男女,https://find-local.scout.or.jp/fukui/sakai5/
福井県,鯖江第2団,福井県鯖江市上鯖江1-14-1,"主な活動場所: 鯖江市内全域
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/sabae2/",鯖江市内全域,男女,https://find-local.scout.or.jp/fukui/sabae2/
福井県,武生第1団,福井県越前市北府町2-12-13,"主な活動場所: 越前市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/takefu1/",越前市内,男女,https://find-local.scout.or.jp/fukui/takefu1/
福井県,武生第5団,福井県越前市府中3-5-23,"主な活動場所: 越前市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/takefu5/",越前市内,男女,https://find-local.scout.or.jp/fukui/takefu5/
福井県,敦賀第3団,福井県敦賀市櫛川28-7-1,"主な活動場所: 
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/tsuruga3/",,男女,https://find-local.scout.or.jp/fukui/tsuruga3/
福井県,丹生第3団,福井県〒916-0215 福井県丹生郡越前町織田42-75,"主な活動場所: 越前町織田、鯖江市、エボシ山、悠久ロマンの杜
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/fukui/nyu3/",越前町織田、鯖江市、エボシ山、悠久ロマンの杜,男女,https://find-local.scout.or.jp/fukui/nyu3/
山梨県,甲府第2団,山梨県甲斐市,"主な活動場所: 山梨県甲斐市
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu2/",山梨県甲斐市,男女,https://find-local.scout.or.jp/yamanashi/kofu2/
山梨県,甲府第3団,山梨県,"主な活動場所: 
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu3/",,男女,https://find-local.scout.or.jp/yamanashi/kofu3/
山梨県,甲府第4団,山梨県,"主な活動場所: 県立青少年センター、金川の森、曽根丘陵公園ほか
参加対象: 男
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu4/",県立青少年センター、金川の森、曽根丘陵公園ほか,男,https://find-local.scout.or.jp/yamanashi/kofu4/
山梨県,甲府第5団,山梨県,"主な活動場所: 山梨ＹＭＣＡ
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu5/",山梨ＹＭＣＡ,男女,https://find-local.scout.or.jp/yamanashi/kofu5/
山梨県,甲府第6団,山梨県,"主な活動場所: 甲府市南西公民館
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu6/",甲府市南西公民館,男女,https://find-local.scout.or.jp/yamanashi/kofu6/
山梨県,甲府第7団,山梨県甲府市,"主な活動場所: 甲府市北部市民センター、緑ヶ丘スポーツ公園、甲斐市敷島地区
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu7/",甲府市北部市民センター、緑ヶ丘スポーツ公園、甲斐市敷島地区,男女,https://find-local.scout.or.jp/yamanashi/kofu7/
山梨県,甲府第10団,山梨県,"主な活動場所: 武田神社
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/yamanashi/kofu10/",武田神社,男女,https://find-local.scout.or.jp/yamanashi/kofu10/
